id,zip,lat,log,flag,city,city_slug,state_id,state,state_slug
15076,36374,31.5787,-85.4937,NULL,Skipperville,skipperville,AL,Alabama,alabama
15077,36375,31.0755,-85.5389,NULL,Slocomb,slocomb,AL,Alabama,alabama
15078,36376,31.2562,-85.2702,NULL,Webb,webb,AL,Alabama,alabama
15079,36401,31.4737,-86.9493,NULL,Evergreen,evergreen,AL,Alabama,alabama
15080,36420,31.1769,-86.5765,NULL,Andalusia,andalusia,AL,Alabama,alabama
15081,36425,31.7582,-87.1847,NULL,Beatrice,beatrice,AL,Alabama,alabama
15082,36426,31.1405,-87.074,NULL,Brewton,brewton,AL,Alabama,alabama
15083,36427,31.1088,-87.0677,NULL,Brewton,brewton,AL,Alabama,alabama
15084,36429,31.2617,-86.7711,NULL,Brooklyn,brooklyn,AL,Alabama,alabama
15085,36432,31.2938,-87.0276,NULL,Castleberry,castleberry,AL,Alabama,alabama
15086,36435,31.8822,-87.4598,NULL,Coy,coy,AL,Alabama,alabama
15087,36436,31.7854,-87.6495,NULL,Dickinson,dickinson,AL,Alabama,alabama
15088,36439,31.4239,-87.3421,NULL,Excel,excel,AL,Alabama,alabama
15089,36441,31.0364,-87.2558,NULL,Flomaton,flomaton,AL,Alabama,alabama
15090,36442,31.0716,-86.3627,NULL,Florala,florala,AL,Alabama,alabama
15091,36444,31.6643,-87.4533,NULL,Franklin,franklin,AL,Alabama,alabama
15092,36445,31.4425,-87.4474,NULL,Frisco City,frisco-city,AL,Alabama,alabama
15093,36446,31.7924,-87.72,NULL,Fulton,fulton,AL,Alabama,alabama
15094,36449,31.3364,-87.4319,NULL,Uriah,uriah,AL,Alabama,alabama
15095,36451,31.6991,-87.8027,NULL,Grove Hill,grove-hill,AL,Alabama,alabama
15096,36453,31.1926,-86.1514,NULL,Kinston,kinston,AL,Alabama,alabama
15097,36454,31.3333,-87.2006,NULL,Lenox,lenox,AL,Alabama,alabama
15098,36455,31.0128,-86.3517,NULL,Lockhart,lockhart,AL,Alabama,alabama
15099,36456,31.5634,-86.8128,NULL,Mc Kenzie,mc-kenzie,AL,Alabama,alabama
15100,36457,31.3804,-87.4267,NULL,Megargel,megargel,AL,Alabama,alabama
15101,36458,31.5104,-87.4035,NULL,Mexia,mexia,AL,Alabama,alabama
15102,36460,31.521,-87.3074,NULL,Monroeville,monroeville,AL,Alabama,alabama
15103,36461,31.5262,-87.3431,NULL,Monroeville,monroeville,AL,Alabama,alabama
15104,36462,31.529531,-87.345345,NULL,Monroeville,monroeville,AL,Alabama,alabama
15105,36467,31.2813,-86.2572,NULL,Opp,opp,AL,Alabama,alabama
15106,36470,31.538,-87.5509,NULL,Perdue Hill,perdue-hill,AL,Alabama,alabama
15107,36471,31.6262,-87.243,NULL,Peterman,peterman,AL,Alabama,alabama
15108,36473,31.3058,-87.2137,NULL,Range,range,AL,Alabama,alabama
15109,36474,31.4268,-86.6198,NULL,Red Level,red-level,AL,Alabama,alabama
15110,36475,31.3814,-87.2247,NULL,Repton,repton,AL,Alabama,alabama
15111,36476,31.363,-86.551,NULL,River Falls,river-falls,AL,Alabama,alabama
15112,36477,31.0952,-86.0558,NULL,Samson,samson,AL,Alabama,alabama
15113,36480,31.3271,-87.6079,NULL,Uriah,uriah,AL,Alabama,alabama
15114,36481,31.8022,-87.368,NULL,Vredenburgh,vredenburgh,AL,Alabama,alabama
15115,36482,31.6318,-87.6426,NULL,Whatley,whatley,AL,Alabama,alabama
15116,36483,31.043,-86.6917,NULL,Wing,wing,AL,Alabama,alabama
15117,36502,31.1407,-87.4939,NULL,Atmore,atmore,AL,Alabama,alabama
